Account,Class Override,Group,Hide
Main Checking - xxxx1001 (MC01),,Savings,
Emergency Savings - xxxx1002 (ES02),,Savings,
Travel Fund - xxxx1003 (TF03),,Savings,
Everyday Card - xxxx2001 (EC04),,Credit Cards,
Travel Rewards Card - xxxx2002 (TR05),,Credit Cards,
Brokerage Account - xxxx3001 (BA06),,Investments,
Health Savings Account - xxxx3002 (HS07),,Investments,
Education Fund - xxxx3003 (EF08),,Investments,
Workplace 401(k) - xxxx4001 (WK09),,Retirement,
Roth IRA - xxxx4002 (RI10),,Retirement,
Home Loan - xxxx5001 (HL11),,Liabilities,
Auto Loan - xxxx5002 (AL12),,Liabilities,
