Unnamed: 0,Date,Time,Account,Account #,Account ID,Balance ID,Institution,Balance,Month,Week,Type,Class,Account Status,Date Added
0,05/20/1992,1992-05-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-000,Aurora Bank,"$3,380.00",05/01/1992,05/18/1992,Depository,Asset,Active,05/01/1992
1,05/20/1992,1992-05-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-000,Aurora Bank,"$7,400.00",05/01/1992,05/18/1992,Depository,Asset,Active,05/01/1992
2,05/20/1992,1992-05-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-000,Aurora Bank,"$1,750.00",05/01/1992,05/18/1992,Depository,Asset,Active,05/01/1992
3,05/20/1992,1992-05-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-000,Harbor Card,"$1,570.00",05/01/1992,05/18/1992,Credit,Liability,Active,05/01/1992
4,05/20/1992,1992-05-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-000,Harbor Card,$970.00,05/01/1992,05/18/1992,Credit,Liability,Active,05/01/1992
5,05/20/1992,1992-05-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-000,Northstar Investments,"$60,400.00",05/01/1992,05/18/1992,Investment,Asset,Active,05/01/1992
6,05/20/1992,1992-05-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-000,Northstar Investments,"$6,260.00",05/01/1992,05/18/1992,Depository,Asset,Active,05/01/1992
7,05/20/1992,1992-05-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-000,Northstar Investments,"$12,450.00",05/01/1992,05/18/1992,Investment,Asset,Active,05/01/1992
8,05/20/1992,1992-05-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-000,Northstar Investments,"$91,200.00",05/01/1992,05/18/1992,Investment,Asset,Active,05/01/1992
9,05/20/1992,1992-05-20 08:00:00,Roth IRA,xxxx4002,demo-account-RI10,bal-demo-account-ri10-000,Northstar Investments,"$21,350.00",05/01/1992,05/18/1992,Investment,Asset,Active,05/01/1992
10,05/20/1992,1992-05-20 08:00:00,Home Loan,xxxx5001,demo-account-HL11,bal-demo-account-hl11-000,Aurora Bank,"$170,120.00",05/01/1992,05/18/1992,Loan,Liability,Active,05/01/1992
11,05/20/1992,1992-05-20 08:00:00,Auto Loan,xxxx5002,demo-account-AL12,bal-demo-account-al12-000,Aurora Bank,"$12,060.00",05/01/1992,05/18/1992,Loan,Liability,Active,05/01/1992
12,06/20/1992,1992-06-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-001,Aurora Bank,"$4,105.00",06/01/1992,06/15/1992,Depository,Asset,Active,05/01/1992
13,06/20/1992,1992-06-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-001,Aurora Bank,"$9,600.00",06/01/1992,06/15/1992,Depository,Asset,Active,05/01/1992
14,06/20/1992,1992-06-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-001,Aurora Bank,"$3,455.00",06/01/1992,06/15/1992,Depository,Asset,Active,05/01/1992
