Category,Group,Type,Hide From Reports,1992-01-01,1992-02-01,1992-03-01,1992-04-01,1992-05-01,1992-06-01,1992-07-01,1992-08-01,1992-09-01,1992-10-01,1992-11-01,1992-12-01,1993-01-01,1993-02-01,1993-03-01,1993-04-01,1993-05-01,1993-06-01,1993-07-01,1993-08-01,1993-09-01,1993-10-01,1993-11-01,1993-12-01,1994-01-01,1994-02-01,1994-03-01,1994-04-01,1994-05-01,1994-06-01,1994-07-01,1994-08-01,1994-09-01,1994-10-01,1994-11-01,1994-12-01,1995-01-01,1995-02-01,1995-03-01,1995-04-01,1995-05-01,1995-06-01,1995-07-01,1995-08-01,1995-09-01,1995-10-01,1995-11-01,1995-12-01
Salary,Income,Income,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest,Income,Income,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rent,Housing,Expense,,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470
Electric,Bills,Expense,,170,155,135,120,110,105,110,130,140,135,150,165,175,160,140,125,115,110,115,135,145,140,155,170,180,165,145,130,120,115,120,140,150,145,160,175,185,170,150,135,125,120,125,145,155,150,165,180
Natural Gas,Bills,Expense,,125,115,90,70,50,40,35,40,55,70,95,120,128,118,93,73,53,43,38,43,58,73,98,123,131,121,96,76,56,46,41,46,61,76,101,126,134,124,99,79,59,49,44,49,64,79,104,129
Internet,Bills,Expense,,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44,44,44,46,46,46,46,46,46,46,46,46,46,46,46,48,48,48,48,48,48,48,48,48,48,48,48
Mobile Phone,Bills,Expense,,62,62,62,62,62,62,62,62,62,62,62,62,64,64,64,64,64,64,64,64,64,64,64,64,66,66,66,66,66,66,66,66,66,66,66,66,68,68,68,68,68,68,68,68,68,68,68,68
Water & Sewer,Bills,Expense,,56,53,48,45,43,43,45,48,52,54,56,58,58,55,50,47,45,45,47,50,54,56,58,60,60,57,52,49,47,47,49,52,56,58,60,62,62,59,54,51,49,49,51,54,58,60,62,64
Trash,Bills,Expense,,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28
Groceries,Food,Expense,,565,560,550,540,530,535,545,555,565,570,585,610,585,580,570,560,550,555,565,575,585,590,605,630,605,600,590,580,570,575,585,595,605,610,625,650,625,620,610,600,590,595,605,615,625,630,645,670
Restaurants,Food,Expense,,260,270,280,290,305,315,325,335,315,310,330,360,275,285,295,305,320,330,340,350,330,325,345,375,290,300,310,320,335,345,355,365,345,340,360,390,305,315,325,335,350,360,370,380,360,355,375,405
